,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
500,2015,72000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
501,2017,90000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0
502,2017,68000,Petrol,Individual,Manual,Second Owner,23.84 kmpl,1199 CC,84 bhp,5.0
503,2011,172000,Diesel,Individual,Manual,Second Owner,17.88 kmpl,1396 CC,52.8 bhp,5.0
504,2017,36000,Diesel,Dealer,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,8.0
505,2015,91000,Diesel,Individual,Manual,Third Owner,24.4 kmpl,1120 CC,71 bhp,5.0
506,2017,65000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
507,2013,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
509,2017,7000,Petrol,Dealer,Automatic,Second Owner,14.53 kmpl,1794 CC,138.1 bhp,5.0
510,2013,212000,Diesel,Individual,Manual,First Owner,21.64 kmpl,1461 CC,84.8 bhp,5.0
511,2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
512,1999,65000,Petrol,Individual,Manual,Fourth & Above Owner,15.9 kmpl,1298 CC,85 bhp,5.0
513,2016,80000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,5.0
514,2012,50000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
515,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0
516,2018,30000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5.0
517,2016,80000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,7.0
518,2015,60000,Petrol,Individual,Manual,First Owner,25.4 kmpl,624 CC,37.48 bhp,4.0
519,2018,60000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,6.0
520,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5.0
521,2018,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,5.0
522,2016,30000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,5.0
523,2018,44000,Diesel,Individual,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,5.0
524,2011,105000,Diesel,Individual,Manual,Second Owner,21.9 kmpl,1396 CC,90 bhp,5.0
525,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0
526,2007,73257,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
527,2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
528,2017,50000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5.0
529,2017,40000,Petrol,Individual,Automatic,First Owner,19.0 kmpl,1199 CC,88.7 bhp,5.0
530,2016,65000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
531,2016,120000,Diesel,Individual,Manual,Third Owner,26.59 kmpl,1248 CC,74 bhp,5.0
532,2016,53000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
533,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
534,2010,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5.0
535,2013,120000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
536,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5.0
537,2008,80000,LPG,Individual,Manual,Second Owner,17.3 km/kg,1061 CC,57.5 bhp,5.0
538,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
539,2011,80000,Diesel,Individual,Manual,Third Owner,11.57 kmpl,2179 CC,138.1 bhp,7.0
540,2018,20000,Petrol,Individual,Automatic,First Owner,23.0 kmpl,999 CC,67 bhp,5.0
541,2013,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
542,2017,40000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8.0
543,2014,121000,Petrol,Dealer,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,5.0
544,1998,110000,Petrol,Individual,Manual,Third Owner,13.1 kmpl,1598 CC,77 bhp,5.0
545,2014,100000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
546,2013,100600,Diesel,Individual,Manual,Third Owner,20.46 kmpl,1461 CC,83.8 bhp,5.0
547,2011,90000,Diesel,Individual,Manual,Second Owner,13.55 kmpl,2179 CC,118.35 bhp,7.0
548,2013,70000,Diesel,Individual,Manual,Second Owner,21.9 kmpl,1396 CC,88.76 bhp,5.0
549,2011,100000,Petrol,Individual,Manual,Second Owner,15.37 kmpl,1196 CC,73 bhp,7.0
550,2017,30000,Petrol,Individual,Automatic,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
551,2013,68000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,76.9 bhp,5.0
552,2010,83585,Diesel,Dealer,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
553,2015,87847,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5.0
554,2017,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
555,2019,22000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,110 bhp,5.0
556,2011,93500,Diesel,Individual,Manual,Second Owner,18.6 kmpl,1388 CC,67 bhp,5.0
557,2018,47000,Petrol,Dealer,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0
558,2017,50000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,5.0
559,2018,25000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
560,2012,58400,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
561,2017,70000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
562,2017,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
563,2019,15000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0
564,2010,56000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 CC,62.1 bhp,5.0
565,2007,63000,Petrol,Individual,Automatic,Third Owner,18.9 kmpl,1061 CC,67 bhp,5.0
566,2011,65000,Petrol,Individual,Automatic,Third Owner,12.6 kmpl,1586 CC,103.3 bhp,5.0
567,2016,50000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
568,2010,60000,Petrol,Individual,Manual,First Owner,15.26 kmpl,1150 CC,74.9 bhp,5.0
569,2015,160000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2477 CC,178 bhp,7.0
570,2018,25000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5.0
571,2018,5500,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.6 bhp,5.0
572,2015,39000,Petrol,Dealer,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,5.0
573,2009,140000,Diesel,Individual,Manual,Second Owner,13.8 kmpl,1399 CC,68 bhp,5.0
575,2017,26000,Petrol,Individual,Automatic,First Owner,19.34 kmpl,1198 CC,76 bhp,5.0
576,2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7 kmpl,2609 CC,120 bhp,8.0
577,2007,260000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,7.0
579,2012,125000,Diesel,Individual,Manual,Second Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
580,2011,140000,Petrol,Individual,Automatic,Second Owner,14.4 kmpl,1598 CC,103.6 bhp,5.0
581,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,5.0
582,2015,35000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
583,2008,95200,Petrol,Individual,Manual,Third Owner,13.2 kmpl,1495 CC,94 bhp,5.0
584,2017,80000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,7.0
585,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,5.0
586,2011,119000,Diesel,Individual,Manual,Second Owner,16.52 kmpl,1991 CC,123.7 bhp,5.0
587,2016,110000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
588,2014,25000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
589,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5.0
590,2015,61000,Diesel,Dealer,Manual,Second Owner,22.71 kmpl,1461 CC,84.8 bhp,5.0
591,2012,70000,Diesel,Individual,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
592,2014,25000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,9.0
593,2015,50000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
594,2003,36088,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
595,2013,110000,Diesel,Individual,Manual,Second Owner,21.27 kmpl,1396 CC,88.76 bhp,5.0
596,2018,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0
597,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,5.0
598,2015,135000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
599,2017,113000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,5.0
600,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0
601,2012,120000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
602,2013,120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9 kmpl,1248 CC,74 bhp,5.0
603,2012,70000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,57.6 bhp,5.0
604,2013,40000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
605,2015,60000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0
606,2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,5.0
607,2014,90000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5.0
608,2008,120000,Diesel,Individual,Manual,Third Owner,14.8 kmpl,1998 CC,68 bhp,5.0
609,2018,7000,Petrol,Individual,Manual,First Owner,22.5 kmpl,999 CC,67 bhp,5.0
610,2016,120000,Petrol,Individual,Manual,Second Owner,17.19 kmpl,1197 CC,81.86 bhp,5.0
611,2016,120000,Diesel,Individual,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0
612,2007,38000,Petrol,Individual,Manual,Second Owner,15.3 kmpl,1193 CC,65.3 bhp,5.0
613,2003,120000,Diesel,Individual,Manual,Third Owner,12.7 kmpl,2609 CC,116.6 bhp,8.0
614,2013,18000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0
615,2018,13887,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0
616,2017,28000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
617,2016,40000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,5.0
618,2014,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
619,2018,30000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
620,2018,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
621,2014,38000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,74 bhp,5.0
622,2004,60000,Diesel,Individual,Manual,Third Owner,16.1 kmpl,1405 CC,70 bhp,5.0
623,2013,40000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
624,2016,35000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,73.75 bhp,5.0
625,2010,90000,Diesel,Individual,Manual,First Owner,14.0 kmpl,1948 CC,90 bhp,9.0
626,2006,40000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,4.0
627,2015,60000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
628,2018,59000,Diesel,Individual,Manual,First Owner,24.2 kmpl,1498 CC,93.87 bhp,7.0
629,2016,60000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
630,2018,15000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
631,2016,110000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.74 bhp,7.0
632,2010,55000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,5.0
633,2015,80000,Petrol,Individual,Manual,First Owner,19.49 kmpl,1198 CC,67.04 bhp,5.0
634,2010,120000,Diesel,Individual,Manual,Second Owner,11.8 kmpl,1991 CC,150 bhp,5.0
635,2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,5.0
636,2018,50000,Diesel,Individual,Manual,First Owner,23.5 kmpl,909 CC,45 bhp,8.0
637,2016,80000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,5.0
638,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0
639,2006,140000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,8.0
640,2013,68697,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
641,2011,116500,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
642,2012,40000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,5.0
643,2015,160000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2477 CC,178 bhp,7.0
644,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0
645,2017,51000,Petrol,Dealer,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,5.0
646,2010,170000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1399 CC,68 bhp,5.0
647,2011,25000,Petrol,Individual,Manual,Second Owner,26.0 kmpl,624 CC,35 bhp,4.0
648,2018,28451,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
649,2017,60000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0
650,2014,60000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
651,2018,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5.0
652,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
653,2017,32000,Diesel,Individual,Manual,First Owner,16.3 kmpl,1956 CC,170 bhp,5.0
654,2018,100000,Diesel,Dealer,Automatic,First Owner,12.9 kmpl,2755 CC,174.5 bhp,7.0
655,2018,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
656,2016,16151,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5.0
657,2007,74800,Petrol,Individual,Manual,Second Owner,18.2 kmpl,998 CC,67.1 bhp,5.0
658,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5.0
659,2018,65000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
660,2009,180000,Diesel,Individual,Manual,First Owner,13.6 kmpl,1991 CC,142 bhp,5.0
661,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5.0
662,2017,58559,Diesel,Dealer,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0
663,2016,53000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
664,2008,120000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,7.0
665,2017,40000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
666,2017,40000,Diesel,Dealer,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
667,2012,96000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.8 bhp,7.0
668,2018,46000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5.0
669,2017,28832,Diesel,Dealer,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
670,2018,70000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,7.0
671,2019,3100,Petrol,Individual,Automatic,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
672,2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,4.0
673,2013,68000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,57.6 bhp,5.0
674,2010,70000,LPG,Individual,Manual,Third Owner,13.45 km/kg,1086 CC,62.1 bhp,5.0
675,2017,71000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0
676,2020,2000,Petrol,Dealer,Manual,First Owner,20.7 kmpl,1197 CC,81.86 bhp,5.0
677,2016,110000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,5.0
678,2019,40000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
679,2018,50000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
680,2009,160000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1197 CC,85.8 bhp,5.0
681,2011,221889,Diesel,Dealer,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0
682,2017,15000,Petrol,Individual,Automatic,First Owner,17.01 kmpl,1591 CC,121.3 bhp,5.0
683,2011,116500,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
684,2019,5000,Petrol,Individual,Manual,First Owner,20.0 kmpl,999 CC,72 bhp,7.0
685,2017,25000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0
686,2016,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
687,2011,100000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5.0
688,2014,48000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
689,2017,5000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,6.0
690,2006,270000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,8.0
691,2009,95000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,5.0
692,2017,60000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0
693,2012,40000,Petrol,Individual,Manual,Second Owner,25.4 kmpl,624 CC,38 bhp,4.0
694,2014,70000,CNG,Individual,Manual,Second Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0
695,2013,80000,Diesel,Individual,Manual,Second Owner,20.46 kmpl,1461 CC,83.8 bhp,5.0
696,2019,9000,Petrol,Dealer,Automatic,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0
697,2014,70000,Diesel,Individual,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
698,2014,97000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0
699,2016,100000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,6.0
700,2015,25000,Petrol,Individual,Manual,First Owner,15.85 kmpl,1499 CC,110.4 bhp,5.0
701,2014,95000,Diesel,Individual,Manual,Second Owner,14.02 kmpl,2179 CC,118.3 bhp,8.0
702,2018,58511,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
703,2013,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
704,2012,110000,Diesel,Individual,Manual,Third Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0
705,2016,72000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,9.0
706,2004,120000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
707,2016,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
708,2009,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,7.0
709,2015,40000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
710,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7.0
711,2012,90000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
712,2015,30000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
713,2015,80000,Diesel,Individual,Manual,Second Owner,23.9 kmpl,1582 CC,126.2 bhp,5.0
714,2010,110000,Petrol,Individual,Automatic,Third Owner,16.95 kmpl,1197 CC,78.9 bhp,5.0
715,2016,40000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 CC,88.73 bhp,5.0
716,2014,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
717,2012,120000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 CC,79.4 bhp,5.0
718,2013,69000,Diesel,Dealer,Manual,First Owner,18.6 kmpl,1388 CC,67 bhp,5.0
719,2011,250000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,7.0
720,2009,100000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
721,2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,21.5 kmpl,1248 CC,88.8 bhp,5.0
722,2011,110000,Diesel,Individual,Manual,Third Owner,23.08 kmpl,1461 CC,63.1 bhp,5.0
723,2017,13000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
724,2012,128000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0
725,2018,30000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
726,2018,59736,Diesel,Dealer,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
727,2009,120000,Diesel,Individual,Manual,First Owner,18.1 kmpl,1493 CC,110 bhp,5.0
728,2020,15000,Petrol,Individual,Manual,First Owner,22.05 kmpl,796 CC,47.3 bhp,5.0
729,2015,60000,Diesel,Dealer,Manual,First Owner,25.47 kmpl,1248 CC,88.50 bhp,7.0
730,2011,90400,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
731,2012,145000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100 bhp,8.0
732,2018,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0
733,2012,74000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0
734,2011,69000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
735,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0
736,2018,82000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0
737,2016,50000,Diesel,Individual,Automatic,First Owner,17.45 kmpl,1493 CC,100 bhp,7.0
738,2018,18000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5.0
739,2013,24019,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0
740,2012,162000,Diesel,Individual,Manual,Fourth & Above Owner,12.8 kmpl,2494 CC,102 bhp,7.0
741,2013,70000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
743,2011,265000,Diesel,Individual,Manual,Second Owner,20.86 kmpl,1199 CC,75 bhp,5.0
744,2018,27000,Diesel,Dealer,Automatic,First Owner,17.05 kmpl,1995 CC,184 bhp,5.0
745,2011,50000,Diesel,Individual,Automatic,First Owner,17.05 kmpl,1995 CC,184 bhp,5.0
746,2015,80000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0
747,2019,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
748,2013,120000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0
