,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
749,2014,110000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
750,2012,30000,LPG,Individual,Manual,First Owner,19.2 km/kg,1086 CC,68.05 bhp,5.0
751,2018,90000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,121.36 bhp,5.0
752,2016,35000,Diesel,Individual,Manual,Second Owner,27.28 kmpl,1047 CC,69 bhp,5.0
753,2014,80000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0
754,2017,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
755,2011,40000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
756,2013,95000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.57 bhp,7.0
757,2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,15.3 kmpl,2956 CC,83.8 bhp,7.0
758,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0
759,2006,170000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,7.0
760,2016,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
761,2018,29000,Petrol,Dealer,Automatic,First Owner,17.4 kmpl,1197 CC,81.86 bhp,5.0
762,2016,140000,Petrol,Individual,Manual,First Owner,15.4 kmpl,1497 CC,117.3 bhp,7.0
763,2018,15000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5.0
764,2015,45000,Petrol,Individual,Manual,First Owner,17.19 kmpl,1197 CC,81.86 bhp,5.0
765,2011,150000,Diesel,Individual,Manual,Fourth & Above Owner,23.0 kmpl,1396 CC,90 bhp,5.0
766,2010,65000,Petrol,Individual,Manual,First Owner,15.64 kmpl,1193 CC,64.1 bhp,5.0
767,2014,80000,Diesel,Individual,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
768,2015,90000,Diesel,Individual,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0
769,2005,140000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
770,2015,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0
771,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0
772,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
773,2008,80000,Diesel,Individual,Manual,Second Owner,17.2 kmpl,1396 CC,53.5 bhp,5.0
774,2011,80000,Petrol,Individual,Manual,First Owner,26.0 kmpl,624 CC,35 bhp,4.0
775,2006,110000,Diesel,Individual,Manual,Fourth & Above Owner,17.88 kmpl,1396 CC,52.8 bhp,5.0
776,2018,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
777,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0
778,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0
779,2017,45000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,7.0
780,2013,80000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
782,2013,56000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
783,2016,50000,Petrol,Individual,Manual,First Owner,19.44 kmpl,1198 CC,67 bhp,7.0
784,2017,20000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
785,2006,50000,Petrol,Individual,Manual,Third Owner,14.0 kmpl,1061 CC,64 bhp,5.0
786,2015,35000,Petrol,Individual,Manual,Second Owner,20.4 kmpl,1197 CC,83.11 bhp,5.0
787,2010,120000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,71 bhp,5.0
788,2014,150000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2982 CC,168.5 bhp,7.0
789,2009,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7.0
790,2019,60000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,120 bhp,7.0
791,2003,40000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
792,2019,6500,Petrol,Individual,Manual,First Owner,20.0 kmpl,999 CC,72 bhp,7.0
793,2011,80000,Petrol,Individual,Manual,Second Owner,16.0 kmpl,1198 CC,90 bhp,5.0
794,2010,60000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2498 CC,112 bhp,7.0
795,2010,120000,Diesel,Individual,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,5.0
796,2012,70000,Diesel,Individual,Manual,Second Owner,15.3 kmpl,2956 CC,83.8 bhp,7.0
797,2011,120000,Diesel,Individual,Manual,First Owner,11.5 kmpl,2982 CC,171 bhp,7.0
798,2014,142500,Diesel,Individual,Manual,First Owner,19.5 kmpl,1248 CC,75 bhp,5.0
799,2014,121000,Diesel,Individual,Manual,Third Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
800,2013,70000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
801,2015,188000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
802,2010,168000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,7.0
803,2008,120000,Petrol,Individual,Automatic,Second Owner,19.2 kmpl,1197 CC,80 bhp,5.0
804,2018,25000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5.0
805,2012,72072,Diesel,Dealer,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0
806,2016,75000,Diesel,Individual,Automatic,Third Owner,16.0 kmpl,2179 CC,140 bhp,7.0
807,2015,94000,Diesel,Individual,Manual,Second Owner,24.5 kmpl,1498 CC,98.6 bhp,7.0
808,2019,2600,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
809,2009,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,5.0
810,2015,120000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
811,2019,60000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,5.0
812,2002,80000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,4.0
813,2011,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
814,2015,60000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0
815,2017,35000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
816,2010,120000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,5.0
817,2019,5400,Diesel,Dealer,Manual,Test Drive Car,22.27 kmpl,1498 CC,108.6 bhp,5.0
818,2006,100000,Petrol,Individual,Manual,Third Owner,15.3 kmpl,1341 CC,83 bhp,5.0
819,2011,50000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,118 bhp,5.0
820,2016,70000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
821,2014,120000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2523 CC,75 bhp,7.0
822,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5.0
823,2017,35000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
824,2014,80000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0
825,2019,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5.0
826,2012,75000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,5.0
827,2015,31000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,5.0
828,2011,70000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5.0
829,2019,4000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,5.0
830,2002,70000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
831,2010,100000,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1368 CC,90 bhp,5.0
832,2010,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
833,2015,22000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
834,2012,57728,Petrol,Trustmark Dealer,Automatic,First Owner,14.53 kmpl,1794 CC,138.1 bhp,5.0
835,2016,30000,Diesel,Individual,Manual,Second Owner,27.3 kmpl,1498 CC,98.6 bhp,5.0
836,2012,40000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
837,2013,100000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,5.0
838,2013,70000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
839,2004,60000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
840,2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
841,2016,78000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0
842,2017,35000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5.0
843,2010,77000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
844,2009,70000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,5.0
845,2018,31000,Petrol,Dealer,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0
846,2009,110000,Petrol,Individual,Manual,Second Owner,15.7 kmpl,1172 CC,67 bhp,5.0
847,2010,120000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,7.0
848,2013,87185,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.3 bhp,5.0
849,2016,60000,Diesel,Dealer,Manual,Second Owner,13.68 kmpl,2393 CC,147.8 bhp,7.0
850,2016,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
851,2013,116000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,5.0
852,2015,170000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0
853,2017,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
854,2015,96500,Diesel,Individual,Manual,First Owner,20.5 kmpl,1248 CC,91.72 bhp,5.0
855,2003,35000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,4.0
856,2013,200000,Diesel,Individual,Manual,Second Owner,20.07 kmpl,1461 CC,75 bhp,8.0
857,2018,15000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
858,2011,70000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,80 bhp,5.0
859,2010,120600,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
860,2013,56429,Diesel,Dealer,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0
861,2018,19100,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,5.0
862,2013,170000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0
863,2011,10000,Petrol,Individual,Manual,Third Owner,26.0 kmpl,624 CC,35 bhp,4.0
864,2008,60000,Diesel,Individual,Automatic,Third Owner,11.0 kmpl,2993 CC,235 bhp,5.0
865,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5.0
866,2015,30000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0
867,2013,70000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0
868,2015,60000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,5.0
869,2012,80000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
870,2012,135000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5.0
871,2016,25000,Petrol,Individual,Manual,First Owner,17.19 kmpl,1197 CC,81.86 bhp,5.0
872,2012,90000,Diesel,Individual,Manual,Fourth & Above Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
873,2016,30000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
874,2014,50000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
875,2019,20000,Petrol,Individual,Manual,Second Owner,20.3 kmpl,1086 CC,68 bhp,5.0
876,2011,157000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.3 bhp,5.0
877,2011,93468,Diesel,Individual,Automatic,Second Owner,11.4 kmpl,2953 CC,153.86 bhp,7.0
878,2011,140000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,5.0
879,2013,200000,Diesel,Individual,Automatic,First Owner,11.18 kmpl,2696 CC,184 bhp,7.0
880,2018,50000,Diesel,Individual,Automatic,First Owner,11.2 kmpl,1969 CC,235 bhp,5.0
881,2012,178000,Diesel,Individual,Manual,Second Owner,22.3 kmpl,1248 CC,74 bhp,5.0
882,2010,120000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
883,2015,155000,Diesel,Individual,Automatic,First Owner,14.81 kmpl,1998 CC,163.7 bhp,5.0
884,2007,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.8 kmpl,1493 CC,110 bhp,5.0
885,2009,80000,Petrol,Individual,Manual,First Owner,16.6 kmpl,1197 CC,85 bhp,5.0
886,2019,3500,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5.0
887,2014,51000,Diesel,Individual,Automatic,First Owner,14.74 kmpl,2993 CC,270.9 bhp,5.0
888,2015,91500,Diesel,Individual,Manual,Second Owner,24.0 kmpl,1120 CC,70 bhp,5.0
889,2018,22000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
890,2015,22500,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
891,2020,5000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5.0
892,2013,100000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,5.0
894,2015,63000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
895,2016,27500,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
896,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,5.0
897,2017,50000,Diesel,Individual,Manual,Second Owner,15.4 kmpl,1997 CC,120 bhp,7.0
898,2016,40000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
899,2015,80000,Diesel,Individual,Manual,Second Owner,15.4 kmpl,2179 CC,120 bhp,7.0
900,2010,80000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,1595 CC,102 bhp,5.0
901,2012,73000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
902,2014,15000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
903,2011,25000,Petrol,Individual,Manual,Second Owner,16.95 kmpl,1498 CC,97.7 bhp,5.0
904,2011,60000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
905,2016,85000,Diesel,Individual,Automatic,Second Owner,12.62 kmpl,2198 CC,158 bhp,7.0
906,2016,110000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.74 bhp,7.0
907,2014,160000,Diesel,Individual,Manual,First Owner,14.95 kmpl,2489 CC,93.7 bhp,7.0
908,2010,20000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
909,2012,110000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,5.0
910,2016,90000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
911,2014,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0
912,2014,40000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
913,2010,50000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,80 bhp,5.0
914,2011,298000,Diesel,Individual,Manual,Second Owner,13.1 kmpl,2499 CC,141 bhp,7.0
915,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5.0
916,2017,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
917,2015,57000,Diesel,Dealer,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,5.0
918,2017,75000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
919,2015,30000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
920,2011,120000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,8.0
921,2016,40000,Petrol,Individual,Automatic,First Owner,10.75 kmpl,2694 CC,163.7 bhp,7.0
922,2018,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
923,2017,25000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0
924,2011,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
925,2017,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
926,2004,40000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1405 CC,62 bhp,5.0
927,2018,10000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
928,2011,89000,Diesel,Individual,Manual,Second Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0
929,2017,40000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.74 bhp,7.0
930,2017,40000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5.0
931,2018,35000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,7.0
932,2016,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5.0
933,2010,151000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,2982 CC,171 bhp,7.0
934,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5.0
935,2011,47000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,5.0
936,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0
937,2018,30000,Petrol,Individual,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
938,2012,35000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
939,2015,80000,Diesel,Individual,Manual,Second Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0
940,2017,5000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
942,2016,120000,Petrol,Individual,Manual,Second Owner,16.2 kmpl,1199 CC,74 bhp,5.0
943,2017,30000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
944,2010,70000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
945,2015,39414,Petrol,Dealer,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0
946,2014,50000,Diesel,Individual,Manual,Second Owner,21.79 kmpl,1248 CC,88.73 bhp,5.0
947,2019,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
948,2013,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
949,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0
950,2016,50000,Diesel,Individual,Automatic,Second Owner,26.59 kmpl,1248 CC,74 bhp,5.0
951,2015,120000,Diesel,Individual,Manual,First Owner,24.2 kmpl,1498 CC,98.6 bhp,7.0
952,2013,27000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
953,2005,55425,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
954,2007,120000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5.0
955,2019,15000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
956,2010,50000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,5.0
957,2016,30000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,5.0
958,2017,70000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,7.0
960,2017,31000,Diesel,Dealer,Automatic,First Owner,21.66 kmpl,1498 CC,103.52 bhp,5.0
961,2018,70000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0
962,2014,60000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
963,2019,15000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1396 CC,88.7 bhp,5.0
964,2009,150000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,7.0
965,2011,35000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
966,2011,110000,Petrol,Individual,Manual,Third Owner,16.8 kmpl,1497 CC,116.4 bhp,5.0
967,2018,40000,Diesel,Individual,Automatic,First Owner,16.25 kmpl,1968 CC,148 bhp,7.0
968,2009,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
969,2017,35000,Diesel,Individual,Manual,First Owner,20.65 kmpl,1248 CC,88.7 bhp,5.0
970,2009,90000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0
971,2017,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0
972,2016,25000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
973,2013,82246,Petrol,Dealer,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
974,2005,200000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,8.0
975,2015,90000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0
976,2017,50000,Diesel,Individual,Automatic,First Owner,15.04 kmpl,2755 CC,174.5 bhp,7.0
977,2018,120000,Petrol,Individual,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,5.0
978,2014,90000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
979,2006,60000,Petrol,Individual,Manual,Third Owner,11.9 kmpl,2354 CC,144 bhp,5.0
980,2018,40000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0
982,2012,108000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
983,2011,80000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,7.0
984,2012,70000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
985,2006,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5.0
986,2013,60000,Diesel,Individual,Manual,Second Owner,21.27 kmpl,1396 CC,88.76 bhp,5.0
987,2013,60000,Diesel,Individual,Manual,Second Owner,25.0 kmpl,1396 CC,69.01 bhp,5.0
988,2014,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
989,2008,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
990,2007,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
991,2012,26000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,5.0
992,2006,150000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
993,1999,100000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
994,2010,143000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0
995,2008,100000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
996,2017,50000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
997,2009,40000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
998,2012,25000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
999,2016,110000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0
